penguin_id,species_id,year,island,sex,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
1,1,2007,Torgersen,male,39.1,18.7,181,3750
2,1,2007,Torgersen,female,39.5,17.4,186,3800
3,1,2007,Torgersen,female,40.3,18,195,3250
4,1,2007,Torgersen,NA,NA,NA,NA,NA
5,1,2007,Torgersen,female,36.7,19.3,193,3450
6,1,2007,Torgersen,male,39.3,20.6,190,3650
7,1,2007,Torgersen,female,38.9,17.8,181,3625
8,1,2007,Torgersen,male,39.2,19.6,195,4675
9,1,2007,Torgersen,NA,34.1,18.1,193,3475
10,1,2007,Torgersen,NA,42,20.2,190,4250
11,1,2007,Torgersen,NA,37.8,17.1,186,3300
12,1,2007,Torgersen,NA,37.8,17.3,180,3700
13,1,2007,Torgersen,female,41.1,17.6,182,3200
14,1,2007,Torgersen,male,38.6,21.2,191,3800
15,1,2007,Torgersen,male,34.6,21.1,198,4400
16,1,2007,Torgersen,female,36.6,17.8,185,3700
17,1,2007,Torgersen,female,38.7,19,195,3450
18,1,2007,Torgersen,male,42.5,20.7,197,4500
19,1,2007,Torgersen,female,34.4,18.4,184,3325
20,1,2007,Torgersen,male,46,21.5,194,4200
21,1,2007,Biscoe,female,37.8,18.3,174,3400
22,1,2007,Biscoe,male,37.7,18.7,180,3600
23,1,2007,Biscoe,female,35.9,19.2,189,3800
24,1,2007,Biscoe,male,38.2,18.1,185,3950
25,1,2007,Biscoe,male,38.8,17.2,180,3800
26,1,2007,Biscoe,female,35.3,18.9,187,3800
27,1,2007,Biscoe,male,40.6,18.6,183,3550
28,1,2007,Biscoe,female,40.5,17.9,187,3200
29,1,2007,Biscoe,female,37.9,18.6,172,3150
30,1,2007,Biscoe,male,40.5,18.9,180,3950
31,1,2007,Dream,female,39.5,16.7,178,3250
32,1,2007,Dream,male,37.2,18.1,178,3900
33,1,2007,Dream,female,39.5,17.8,188,3300
34,1,2007,Dream,male,40.9,18.9,184,3900
35,1,2007,Dream,female,36.4,17,195,3325
36,1,2007,Dream,male,39.2,21.1,196,4150
37,1,2007,Dream,male,38.8,20,190,3950
38,1,2007,Dream,female,42.2,18.5,180,3550
